@relation temperature,
,
@attribute Temperature numeric,
@attribute Date date 'yyyy-MM-dd',
,
@data,
32,2012-03-02
32,2012-03-03
34,2012-03-04
32,2012-03-05
31,2012-03-06
33,2012-03-07
32,2012-03-08
32,2012-03-09
34,2012-03-10
35,2012-03-11
34,2012-03-12
33,2012-03-13
32,2012-03-14
34,2012-03-15
32,2012-03-16
33,2012-03-17
36,2012-03-18
33,2012-03-19
32,2012-03-20
33,2012-03-21
34,2012-03-22
34,2012-03-23
33,2012-03-24
34,2012-03-25
33,2012-03-26
33,2012-03-27
33,2012-03-28
33,2012-03-29
35,2012-03-30
33,2012-03-31
34,2012-04-01
34,2012-04-02
34,2012-04-03
33,2012-04-04
34,2012-04-05
34,2012-04-06
34,2012-04-07
34,2012-04-08
36,2012-04-09
35,2012-04-10
33,2012-04-11
35,2012-04-12
35,2012-04-13
34,2012-04-14
34,2012-04-15
32,2012-04-16
34,2012-04-17
33,2012-04-18
32,2012-04-19
33,2012-04-20
33,2012-04-21
34,2012-04-22
30,2012-04-23
30,2012-04-24
32,2012-04-25
32,2012-04-26
31,2012-04-27
33,2012-04-28
32,2012-04-29
32,2012-04-30
30,2012-05-01
33,2012-05-02
34,2012-05-03
32,2012-05-04
34,2012-05-05
34,2012-05-06
34,2012-05-07
34,2012-05-08
33,2012-05-09
33,2012-05-10
33,2012-05-11
34,2012-05-12
34,2012-05-13
34,2012-05-14
34,2012-05-15
34,2012-05-16
34,2012-05-17
33,2012-05-18
32,2012-05-19
32,2012-05-20
33,2012-05-21
33,2012-05-22
34,2012-05-23
32,2012-05-24
32,2012-05-25
33,2012-05-26
33,2012-05-27
32,2012-05-28
31,2012-05-29
33,2012-05-30
32,2012-05-31
33,2012-06-01
27,2012-06-02
31,2012-06-03
25,2012-06-04
28,2012-06-05
30,2012-06-06
31,2012-06-07
32,2012-06-08
32,2012-06-09
26,2012-06-10
29,2012-06-11
31,2012-06-12
31,2012-06-13
27,2012-06-14
24,2012-06-15
26,2012-06-16
28,2012-06-17
27,2012-06-18
29,2012-06-19
28,2012-06-20
32,2012-06-21
28,2012-06-22
31,2012-06-23
31,2012-06-24
29,2012-06-25
25,2012-06-26
30,2012-06-27
30,2012-06-28
26,2012-06-29
29,2012-06-30
30,2012-07-01
30,2012-07-02
31,2012-07-03
30,2012-07-04
28,2012-07-05
29,2012-07-06
26,2012-07-07
28,2012-07-08
28,2012-07-09
30,2012-07-10
30,2012-07-11
30,2012-07-12
30,2012-07-13
30,2012-07-14
30,2012-07-15
29,2012-07-16
29,2012-07-17
28,2012-07-18
28,2012-07-19
28,2012-07-20
28,2012-07-21
29,2012-07-22
23,2012-07-23
27,2012-07-24
29,2012-07-25
26,2012-07-26
29,2012-07-27
29,2012-07-28
29,2012-07-29
29,2012-07-30
30,2012-07-31
29,2012-08-01
29,2012-08-02
29,2012-08-03
27,2012-08-04
26,2012-08-05
27,2012-08-06
26,2012-08-07
26,2012-08-08
27,2012-08-09
29,2012-08-10
30,2012-08-11
30,2012-08-12
31,2012-08-13
30,2012-08-14
25,2012-08-15
30,2012-08-16
29,2012-08-17
31,2012-08-18
31,2012-08-19
30,2012-08-20
29,2012-08-21
30,2012-08-22
29,2012-08-23
26,2012-08-24
27,2012-08-25
26,2012-08-26
27,2012-08-27
25,2012-08-28
27,2012-08-29
29,2012-08-30
29,2012-08-31
27,2012-09-01
29,2012-09-02
29,2012-09-03
30,2012-09-04
29,2012-09-05
29,2012-09-06
27,2012-09-07
29,2012-09-08
30,2012-09-09
29,2012-09-10
30,2012-09-11
29,2012-09-12
26,2012-09-13
30,2012-09-14
27,2012-09-15
30,2012-09-16
32,2012-09-17
31,2012-09-18
31,2012-09-19
30,2012-09-20
31,2012-09-21
31,2012-09-22
31,2012-09-23
30,2012-09-24
31,2012-09-25
32,2012-09-26
32,2012-09-27
30,2012-09-28
29,2012-09-29
31,2012-09-30
31,2012-10-01
32,2012-10-02
32,2012-10-03
32,2012-10-04
32,2012-10-05
32,2012-10-06
31,2012-10-07
31,2012-10-08
29,2012-10-09
32,2012-10-10
33,2012-10-11
30,2012-10-12
30,2012-10-13
29,2012-10-14
31,2012-10-15
29,2012-10-16
29,2012-10-17
31,2012-10-18
31,2012-10-19
30,2012-10-20
31,2012-10-21
32,2012-10-22
30,2012-10-23
32,2012-10-24
31,2012-10-25
31,2012-10-26
30,2012-10-27
28,2012-10-28
25,2012-10-29
29,2012-10-30
29,2012-10-31
32,2012-11-01
31,2012-11-02
31,2012-11-03
32,2012-11-04
30,2012-11-05
31,2012-11-06
31,2012-11-07
31,2012-11-08
32,2012-11-09
32,2012-11-10
32,2012-11-11
33,2012-11-12
32,2012-11-13
30,2012-11-14
31,2012-11-15
30,2012-11-16
31,2012-11-17
31,2012-11-18
32,2012-11-19
30,2012-11-20
31,2012-11-21
33,2012-11-22
32,2012-11-23
32,2012-11-24
33,2012-11-25
34,2012-11-26
32,2012-11-27
31,2012-11-28
33,2012-11-29
32,2012-11-30
32,2012-12-01
32,2012-12-02
33,2012-12-03
34,2012-12-04
33,2012-12-05
31,2012-12-06
33,2012-12-07
32,2012-12-08
32,2012-12-09
32,2012-12-10
32,2012-12-11
30,2012-12-12
32,2012-12-13
30,2012-12-14
30,2012-12-15
33,2012-12-16
33,2012-12-17
32,2012-12-18
33,2012-12-19
31,2012-12-20
31,2012-12-21
32,2012-12-22
31,2012-12-23
29,2012-12-24
33,2012-12-25
31,2012-12-26
31,2012-12-27
31,2012-12-28
32,2012-12-29
31,2012-12-30
31,2012-12-31
31,2013-01-01
32,2013-01-02
31,2013-01-03
29,2013-01-04
31,2013-01-05
33,2013-01-06
32,2013-01-07
31,2013-01-08
33,2013-01-09
32,2013-01-10
32,2013-01-11
32,2013-01-12
32,2013-01-13
32,2013-01-14
32,2013-01-15
31,2013-01-16
31,2013-01-17
33,2013-01-18
33,2013-01-19
32,2013-01-20
32,2013-01-21
31,2013-01-22
32,2013-01-23
32,2013-01-24
32,2013-01-25
32,2013-01-26
31,2013-01-27
32,2013-01-28
32,2013-01-29
32,2013-01-30
31,2013-01-31
31,2013-02-01
32,2013-02-02
33,2013-02-03
32,2013-02-04
32,2013-02-05
31,2013-02-06
33,2013-02-07
33,2013-02-08
36,2013-02-09
33,2013-02-10
32,2013-02-11
31,2013-02-12
31,2013-02-13
32,2013-02-14
32,2013-02-15
32,2013-02-16
32,2013-02-17
33,2013-02-18
33,2013-02-19
33,2013-02-20
34,2013-02-21
33,2013-02-22
33,2013-02-23
33,2013-02-24
33,2013-02-25
33,2013-02-26
32,2013-02-27
32,2013-02-28
33,2013-03-01
32,2013-03-02
34,2013-03-03
33,2013-03-04
33,2013-03-05
33,2013-03-06
28,2013-03-07
32,2013-03-08
33,2013-03-09
33,2013-03-10
33,2013-03-11
33,2013-03-12
33,2013-03-13
34,2013-03-14
33,2013-03-15
33,2013-03-16
33,2013-03-17
34,2013-03-18
32,2013-03-19
35,2013-03-20
33,2013-03-21
